Job Title,Company,Location,Salary,salary_low,salary_high,salary_avg,experience_level,is_remote,clean_location,tech_keywords
"Software Engineer - Console and PC Games, C++ (Shiver)",Nintendo,"Miami, FL",$45K - $85K (Glassdoor est.),45000.0,85000.0,65000.0,Entry,False,Miami,C++
Software Engineer,"Spark Change, LLC","Mission, KS",$53K - $111K (Employer est.),53000.0,111000.0,82000.0,Entry,False,Mission,Other
Software Engineer - Mid Level,KorTerra Inc,"Chanhassen, MN",$80K - $85K (Employer est.),80000.0,85000.0,82500.0,Mid,False,Chanhassen,Other
Junior Software Engineer,123.NET,"Byron Center, MI",$60K - $90K (Glassdoor est.),60000.0,90000.0,75000.0,Entry,False,Byron Center,Other
Software Engineer,Arbin Instruments Inc,"College Station, TX",$55K - $80K (Employer est.),55000.0,80000.0,67500.0,Entry,False,College Station,Other
Software Engineer,UKG,"Atlanta, GA",$89K - $128K (Employer est.),89000.0,128000.0,108500.0,Entry,False,Atlanta,Other
Software Engineer,WTW,"Lima, OH",$63K - $106K (Glassdoor est.),63000.0,106000.0,84500.0,Entry,False,Lima,Other
Software Engineer II,JPMorganChase,"Jersey City, NJ",$119K - $150K (Employer est.),119000.0,150000.0,134500.0,Mid,False,Jersey City,Other
Software Engineer,Candid,Virginia,$75K - $120K (Employer est.),75000.0,120000.0,97500.0,Entry,False,Virginia,Other
Sr. Software Engineer – Sites & Services,General Mills,"Minneapolis, MN",$142K - $153K (Employer est.),142000.0,153000.0,147500.0,Senior,False,Minneapolis,Other
Senior Backend Software Engineer,"KorTerra, Inc.","Chanhassen, MN",$100K (Employer est.),100000.0,100000.0,100000.0,Senior,False,Chanhassen,Backend
Software Engineer II,Laerdal Labs DC Inc,"Washington, DC",$125K - $150K (Employer est.),125000.0,150000.0,137500.0,Mid,False,Washington,Other
"Software Engineer II - Full Stack, Ads",Uber,"New York, NY",$167K - $186K (Employer est.),167000.0,186000.0,176500.0,Entry,False,New York,Full Stack
Back-End Developer,Steelcase,"Grand Rapids, MI",$92K - $149K (Employer est.),92000.0,149000.0,120500.0,Not Specified,False,Grand Rapids,Other
Software Engineer II,Hashicorp,Remote,$139K - $178K (Employer est.),139000.0,178000.0,158500.0,Mid,True,Remote,Other
Software Engineer,Helixtachinc,"Andes, NY",$109K - $121K (Employer est.),109000.0,121000.0,115000.0,Entry,False,Andes,Other
Software Engineer,UFA Inc,"Burlington, MA",$90K - $110K (Employer est.),90000.0,110000.0,100000.0,Entry,False,Burlington,Other
Full Stack Python React AWS Software Engineer II,JPMorganChase,"Jersey City, NJ",$119K - $150K (Employer est.),119000.0,150000.0,134500.0,Mid,False,Jersey City,"Python, Full Stack"
Senior Software Engineer,GE HEALTHCARE,"Waukesha, WI",$98K - $128K (Glassdoor est.),98000.0,128000.0,113000.0,Senior,False,Waukesha,Other
Full Stack Software Engineer,Chargezoom,"Salt Lake City, UT",$125K - $200K (Employer est.),125000.0,200000.0,162500.0,Entry,False,Salt Lake City,Full Stack
Software Engineer,Booz Allen,"Rome, NY",$53K - $108K (Employer est.),53000.0,108000.0,80500.0,Entry,False,Rome,Other
Software Engineer .NET,RainesDev,"Dallas, TX",$165K (Employer est.),165000.0,165000.0,165000.0,Entry,False,Dallas,Other
Software Development Engineer II,New American Funding,United States,$120K - $150K (Employer est.),120000.0,150000.0,135000.0,Mid,False,Remote,Other
Software Engineer,Moody's,"Charlotte, NC",$156K (Employer est.),156000.0,156000.0,156000.0,Entry,False,Charlotte,Other
Software Engineer,Aptly Technology,Texas,$45.00 - $55.00 Per Hour (Employer est.),93600.0,114400.0,104000.0,Entry,False,Texas,Other
Software Engineer II,"Security Innovation, Inc.",Remote,$134K - $166K (Employer est.),134000.0,166000.0,150000.0,Mid,True,Remote,Other
Software Engineer,Cyberark,"Newton, MA",$101K - $140K (Employer est.),101000.0,140000.0,120500.0,Entry,False,Newton,Other
"Software Engineer, EnCompass",WEX Inc.,"Portland, ME",$94K - $125K (Employer est.),94000.0,125000.0,109500.0,Entry,False,Portland,Other
Software Engineer II,M&T Bank,"Buffalo, NY",$144K - $148K (Employer est.),144000.0,148000.0,146000.0,Mid,False,Buffalo,Other
Software Engineer,Yext,"New York, NY",$120K - $258K (Employer est.),120000.0,258000.0,189000.0,Entry,False,New York,Other
Software Engineer,Revelyst,"San Diego, CA",$80K - $125K (Employer est.),80000.0,125000.0,102500.0,Entry,False,San Diego,Other
Mobius Software Engineer II - III,Autonomous Solutions,"Mendon, UT",$80K - $118K (Glassdoor est.),80000.0,118000.0,99000.0,Entry,False,Mendon,Other
Senior Software Engineer,Hospital Industry Data Institute,"Jefferson City, MO",$7K - $8K (Employer est.),7000.0,8000.0,7500.0,Senior,False,Jefferson City,Other
Intermediate Software Engineer,Transfire,"Tukwila, WA",$80K (Employer est.),80000.0,80000.0,80000.0,Entry,False,Tukwila,Other
Software Engineer I,"Keysight Technologies, Inc.","Calabasas, CA",$119K - $125K (Employer est.),119000.0,125000.0,122000.0,Entry,False,Calabasas,Other
Java Software Engineer III,JPMorganChase,"New York, NY",$133K - $185K (Employer est.),133000.0,185000.0,159000.0,Senior,False,New York,Java
